type,name,namespace,threat_type,description,removed_at,malware,legitimate_package
npm,base-upload,,false_positive,"Possible simplification package confusion of base - Explanation: The package 'base-upload' is labeled as a 'security holding package', which is often used to prevent typosquatting. The name 'base-upload' is similar enough to 'Base' to potentially confuse users, especially since 'Base' is a legitimate package with a clear purpose. The maintainer 'npm' does not provide enough information to determine legitimacy, and the description of 'base-upload' does not indicate a distinct purpose or a test package. Therefore, it is considered suspicious.",2024-12-12 08:12:43.742,,base
npm,basic,@certd,false_positive,Possible package confusion of @platformatic/basic,,,@platformatic/basic
npm,basic,@prosekit,false_positive,Possible package confusion of @platformatic/basic,,,@platformatic/basic
npm,bbos,,false_positive,"Possible package confusion of [fbjs]

Explanation: The package name 'bbos' is very similar to 'fbjs' with an edit distance of 2, which is indicative of minor character modifications typical of typosquatting. Ignoring the description, the similarity in the names suggests that 'bbos' can be confusing. Its description as a 'security holding package' and the lack of known maintainers further raises suspicion of deceptive intent. There is no indication that 'bbos' is simply a fork (no user name or explicit fork signaling), nor does it offer unique or distinct functionality compared to 'fbjs'. Consequently, it is considered an adversarial name with suspicious intent. Risk level: High).",,,fbjs
npm,bdy,,vulnerability,Possible package confusion of body,,,body
npm,beakman,,false_positive,"Possible `1-step D-L dist` package confusion of [weakmap]

Explanation: The package name 'beakman' has a very low edit distance of 2 from 'weakmap', which makes it highly similar. Based solely on the name similarity, it fits adversarial name criteria (a minor change that could confuse users). The instructions indicate that beakman is presented as an obvious fork of weakmap rather than having a distinct purpose, and its minimal description (just installation instructions) further strengthens suspicion for typosquat intent. Moreover, the maintainers ('menduz', 'ullapublisher') are not known to be associated with the original package, adding to the suspicion. Risk level: High).",,,weakmap
npm,beard,,false_positive,Possible semantic substitution package confusion of mustache,,,mustache
npm,bfx-facs-lru,,malware,"Possible package confusion of [@graphile/lru]

Explanation: The package 'bfx-facs-lru' is described as a 'security holding package', which often indicates a placeholder to prevent typosquatting. The name 'bfx-facs-lru' does not closely resemble '@graphile/lru', but the presence of 'lru' in both names and the security holding description suggest it might be intended to prevent confusion. The maintainers list includes 'npm', which is common for security holding packages. Therefore, it is likely a precautionary measure against typosquatting.",2025-01-07 23:46:16.448,,@graphile/lru
npm,biconomy-test,,false_positive,"Possible package confusion of [test]

Explanation: The package name 'biconomy-test' is constructed by prefixing 'biconomy-' to 'test', which can deceive users who expect the legitimate 'test' package, although the edit distance is high. The prefix mimics an organizational namespace, making it look like an intentional fork, yet the distinct 'security holding package' description raises suspicious intent. There’s no known maintainer for 'biconomy-test', and its purpose appears to be testing (as suggested by its name) but is likely intended to exploit the reputation of the 'test' package. Risk level: High).",,,test
npm,binding-darwin-arm64,@oxc-parser,false_positive,Possible package confusion of @rspack/binding-darwin-arm64,,,@rspack/binding-darwin-arm64
npm,binding-linux-arm64-gnu,@oxc-parser,false_positive,Possible package confusion of @rspack/binding-linux-arm64-gnu,,,@rspack/binding-linux-arm64-gnu
npm,binding-win32-x64-msvc,@oxc-parser,false_positive,Possible package confusion of @rspack/binding-win32-x64-msvc,,,@rspack/binding-win32-x64-msvc
npm,biobot,,false_positive,Possible package confusion of probot,,,probot
npm,bitcoinjs-lib-v6,,stealthy package confusion,"Possible `simplification` package confusion of [bitcoinjs-lib]

Explanation: The package 'bitcoinjs-lib-v6' is labeled as a 'security holding package', which often indicates a placeholder to prevent typosquatting. The name is very similar to 'bitcoinjs-lib', with only a version-like suffix added, which could confuse users. The maintainer 'npm' is not a known individual or organization, increasing suspicion. There is no indication of a distinct purpose or legitimate fork, and the description is minimal and typical of a placeholder.",2024-12-19 09:31:14.416,,bitcoinjs-lib
npm,bitfinex-dev,,malware,"Possible package confusion of [@formkit/dev]

Explanation: The package 'bitfinex-dev' deliberately mirrors the structure of the legitimate '@formkit/dev' package by incorporating the '-dev' suffix, even though the edit distance is relatively high (9). This mimicry, combined with a suspicious description ('security holding package') that hints at malicious intent, raises red flags. The namespace difference (no scope for bitfinex-dev compared to '@formkit' for the legitimate package) further contributes to potential scope confusion. Additionally, the lack of known maintainers and the suspicious description support the conclusion that 'bitfinex-dev' is an adversarial mimic and an obvious fork, not a genuinely distinct package. Risk level: High).",2025-02-25 18:23:13.064,,@formkit/dev
npm,bitfinex-test,,stealthy package confusion,"Possible package confusion of [test]

Explanation: The package name 'bitfinex-test' is formed by adding the 'bitfinex-' prefix to the legitimate package name 'test', which qualifies as a prefix augmentation—a common adversarial naming technique. Given the edit distance and the fact that the legitimate package 'test' is well-known and used for Node.js testing, this adds confusion. Moreover, the description for 'bitfinex-test' is minimal and includes terms like 'security holding package', which raises suspicions of deceptive intent, indicating potential typosquatting. The empty list of maintainers further implies that this package is not managed by known developers. Thus, while the package name suggests it might be a fork, it lacks distinct features or clear fork intent and instead appears to be deliberately misleading. Risk level: High).",2025-02-25 18:53:44.939,,test
npm,bitget-dev,,stealthy package confusion,"Possible package confusion of [mqlight-dev]

Explanation: The package name 'bitget-dev' closely mimics 'mqlight-dev' by using a similar structure and introduction of a similar suffix, making it likely confusing for users. The edit distance of 5 supports the possibility of intentional mimicry. Additionally, the package description 'security holding package' raises suspicion compared to the detailed and purpose-driven description of the legitimate 'mqlight-dev'. The absence of known maintainers further strengthens the likelihood that 'bitget-dev' is a typosquat, and the provided details point toward an adversarial approach rather than a legitimate fork or a distinct-purpose package. Risk level: High).",2025-03-04 23:43:20.697,,mqlight-dev
npm,bithumb-main,,false_positive,"Possible package confusion of [@matter/main]

Explanation: The package name 'bithumb-main' shares the '-main' suffix with the legitimate '@matter/main' and exhibits a pattern that could mislead users due the omission of the organizational scope and use of a similar suffix. Despite an edit distance of 8, the resemblance in structure, combined with the security holding package description, raises suspicions. There are no known maintainers, and the change in namespace from '@matter' to an unscoped name further supports potential adversarial intent. As such, the package appears to be a typosquat attempt rather than an obvious fork or a package with a distinct purpose. Risk level: High).",2025-02-26 06:11:40.654,,@matter/main
npm,bitmart-dev,,malware,"Possible package confusion of [@formkit/dev]

Explanation: The package name 'bitmart-dev' is quite similar to '@formkit/dev' despite an edit distance of 7, suggesting potential intentional mimicry. The use of a non-affiliated namespace (bitmart instead of formkit) appears to be a deliberate attempt to confuse users, qualifying it as an adversarial name. The naming pattern also indicates it is a fork (or a mimic) of the legitimate package, without indication of providing distinct functionalities. In addition, the package description simply says 'security holding package' along with a minimal README, indicating potentially suspicious intent. With no known maintainers and lack of detailed documentation, the overall evidence leans towards a typosquat attempt rather than a legitimate derivative. Risk level: High).",2025-02-25 18:53:44.939,,@formkit/dev
npm,bitmart-test,,malware,"Possible package confusion of [test]

Explanation: The package name 'bitmart-test' employs a prefix addition ('bitmart-') to the legitimate 'test', which is a common tactic in typosquatting via prefix/suffix augmentation. The edit distance of 8 further suggests the names are intended to be confusingly similar despite the additional characters. The description 'security holding package' in bitmart-test raises additional suspicion as it appears to be a placeholder often used in malicious intent deployments. Moreover, there are no known maintainers provided for bitmart-test, and while the name might suggest testing functionality, it does not align with the detailed, well-supported purpose of the legitimate 'test' package. These factors collectively indicate that 'bitmart-test' is suspicious with adversarial intent rather than legitimately being a fork or an offering with a distinct purpose. Risk level: High).",2025-02-26 03:57:09.694,,test
npm,blac,,false_positive,"Possible package confusion of [b4a]

Explanation: The package name 'blac' is very similar to 'b4a' with an edit distance of 2, a level of similarity that could confuse users. Solely based on the package names, this falls under adversarial naming (via asemantic substitution) with potential for user deception. Furthermore, the similarity suggests that blac was created as a fork of b4a rather than representing a package with a distinct purpose. The poor or minimal content in its README, when contrasted with b4a’s detailed description and functionality, further heightens suspicion regarding its intent. Risk level: High).",,,b4a
npm,bleujs,,false_positive,"Possible package confusion of [bellajs]

Explanation: The package 'bleujs' has a name that is similar to 'bellajs', with only a few character changes, which could confuse users. Additionally, the description of 'bleujs' is abnormal, consisting of SVG data, which is not typical for a package description. This raises suspicion about its legitimacy.",2024-12-26 10:57:49.116,,bellajs
npm,blingbling-dasda,,false_positive,Possible package confusion of @winglang/sdk,2024-11-30 10:15:12.353,,@winglang/sdk
npm,bliss,,false_positive,Possible package confusion of cliss,,,cliss
npm,blue-jest,,stealthy package confusion,"Possible `1-step D-L dist` package confusion of [vue-jest]

Explanation: The package name 'blue-jest' is very similar to 'vue-jest' with only a two-character edit difference, suggesting an intentional mimic. Based solely on the name, it appears adversarial as it uses a simple substitution ('blue' vs 'vue') that could confuse users. The metadata indicates that 'blue-jest' is essentially a fork of the legitimate 'vue-jest' because it serves the same function (Jest configuration for Vue) without any distinctive differences in purpose. The package is also designed for testing (as indicated by its description) and its readme is nearly identical. The listed maintainer ('blocklevel') does not clearly indicate affiliation with the legitimate package, further supporting the suspicion. Thus, overall the package displays characteristics of a typosquat with potentially malicious intent. Risk level: High).",,,vue-jest
npm,bnppf-font-icons,,false_positive,Possible package confusion of unplugin-icons,2024-11-26 19:30:17.112,,unplugin-icons
npm,body-complex,,vulnerability,Possible package confusion of body,2024-11-29 06:26:41.980,,body
npm,bodyfpvarser,,malware,"Possible `1-step D-L dist` package confusion of [body-parser]

Explanation: The package 'bodyfpvarser' is a security holding package with a name very similar to 'body-parser', which suggests it could be a typosquat. The description 'security holding package' indicates it is not intended for actual use, but the similarity in name raises suspicion. The maintainers list includes 'npm', which is not a specific known maintainer, adding to the suspicion.


Security holding package. Closed as malware.",2024-12-25 12:03:08.090,,body-parser
npm,body-scroll-lock,@fastkit,false_positive,Possible scope confusion package confusion of body-scroll-lock,,,body-scroll-lock
npm,boolean,@jsdotlua,false_positive,Possible package confusion of boolean,,,boolean
npm,boolean,@stdlib,false_positive,Possible package confusion of boolean,2024-12-08 18:51:29.333,,boolean
npm,boolean,@unshared,false_positive,Possible package confusion of boolean,,,boolean
npm,bootpag,@types,false_positive,"Possible package confusion of [types]

Explanation: The package '@types/bootpag' uses a common namespace '@types/' which is typically used for TypeScript type definitions. However, the description is abnormal, and the maintainers list includes 'types', which is not a known maintainer. The legitimate package 'types' lacks a description, making it difficult to determine the relationship. The namespace '@types/' is not suspicious by itself, but the lack of clear information and abnormal description raises suspicion.",,,types
npm,bounds,@leafer-ui,false_positive,Possible package confusion of @leafygreen-ui/banner,,,@leafygreen-ui/banner
npm,bowserify,,stealthy package confusion,Possible package confusion of browserify,,,browserify
npm,breadcrumb,@altimex-ui,false_positive,Possible package confusion of @chakra-ui/breadcrumb,,,@chakra-ui/breadcrumb
npm,breadcrumb,@spark-ui,false_positive,Possible package confusion of @chakra-ui/breadcrumb,,,@chakra-ui/breadcrumb
npm,breadcrumbs,@mabi-ui,false_positive,Possible package confusion of @chakra-ui/breadcrumb,,,@chakra-ui/breadcrumb
npm,browser,@sentry,false_positive,Possible package confusion of @mtapp-sentry/browser,,,@mtapp-sentry/browser
npm,browser-builds,,false_positive,"Possible package confusion of [browser-builtins]

Explanation: The package 'browser-builds' has no description and is maintained by 'nvk.attacker4', which does not appear to be a known maintainer in the npm community. The name 'browser-builds' is very similar to 'browser-builtins', differing only by a few characters, which could easily confuse users. The lack of description and the suspicious maintainer name increase the likelihood of it being a typosquat.",2025-01-01 08:46:10.547,,browser-builtins
npm,browser-sdk,@heycharles,false_positive,Possible package confusion of @whereby.com/browser-sdk,,,@whereby.com/browser-sdk
npm,build-utils,@essex,false_positive,Possible package confusion of @vercel/build-utils,,,@vercel/build-utils
npm,bun,@types,false_positive,Possible package confusion of bun-types,2024-12-09 16:04:30.809,,bun-types
npm,bun-css-loader,,false_positive,"Possible `simplification` package confusion of [css-loader]

Explanation: The package name 'bun-css-loader' is a near mirror of the legitimate 'css-loader' with the addition of the 'bun-' prefix. This form of prefix augmentation meets criteria for an adversarial name based solely on package name similarity. Its description shows functionality similar to 'css-loader', but it does not explicitly declare itself as a fork or show a distinct purpose. Additionally, the maintainer listed ('bytenote') is different from the legitimate package's team, which raises concerns. Overall, based solely on the name and metadata similarities, the package appears suspicious.Package is adversarial and have similar purpose, so it's likely a typosquat.",,,css-loader
npm,bundler-esbuild,@winner-fed,false_positive,Possible package confusion of @umijs/bundler-esbuild,,,@umijs/bundler-esbuild
npm,button,@svelement-ui,false_positive,"Possible package confusion of [element-ui]

Explanation: The package '@svelement-ui/button' uses a namespace that could mimic 'element-ui', and the description is not informative. The maintainer 'koory1st' is not a known maintainer in the npm community, and the namespace 'svelement-ui' could be seen as a play on 'element-ui'. The lack of clear purpose or differentiation from 'element-ui' makes it suspicious.",,,element-ui
npm,cache,@nocobase,false_positive,Possible package confusion of @actions/cache,,,@actions/cache
npm,cachetrax,,false_positive,"Possible `simplification` package confusion of [cache]

Explanation: The package name 'cachetrax' is similar to 'cache' with an additional suffix, which could potentially confuse users. The description of 'cachetrax' is vague and does not clearly differentiate its purpose from 'cache'. The maintainer 'stevenvelozo' is not recognized as a known maintainer in the npm community, and there is no indication of a distinct purpose or intentional play on words. Therefore, it appears suspicious.",,,cache
npm,calendar-view-utils,,false_positive,Possible package confusion of calendar-utils,,,calendar-utils
npm,cap-cli,,false_positive,Possible package confusion of eas-cli,,,eas-cli
npm,card,@ajk-ui,false_positive,Possible package confusion of @chakra-ui/card,,,@chakra-ui/card
npm,card,@julo-ui,false_positive,Possible package confusion of @chakra-ui/card,,,@chakra-ui/card
npm,card,@rescui,false_positive,Possible scope confusion package confusion of card,,,card
npm,carone-react,,false_positive,"Possible `1-step D-L dist` package confusion of [carbon-react]

Explanation: The package name 'carone-react' is extremely similar to 'carbon-react' via a minor substitution ('b' vs 'one'), which fits adversarial tactics like minor character alterations designed to mislead users. The descriptions of the two packages indicate they serve the same basic purpose (a React component library) and no clear indication is given that carone-react is an official fork or has a distinct purpose. Furthermore, the maintainers of carone-react (['emilecar']) do not match the well-known community or organizational maintainers behind carbon-react. Based solely on the name similarity and available metadata, 'carone-react' is likely intended to mimic 'carbon-react', making it suspicious.Package is adversarial and have similar purpose, so it's likely a typosquat.",,,carbon-react
npm,carousel,@hyna.lk,false_positive,Possible package confusion of @mantine/carousel,,,@mantine/carousel
npm,carousel,@inexture,false_positive,Possible package confusion of @mantine/carousel,,,@mantine/carousel
npm,ccs1111-utils,,false_positive,Possible package confusion of utils,2024-12-03 04:06:10.321,,utils
npm,cesiumjs,,stealthy package confusion,"Possible `1-step D-L dist` package confusion of [cesium]

Explanation: The package name 'cesiumjs' is very similar to 'cesium' due to the addition of the 'js' suffix, which is a common compound squatting tactic and can deceive users. Although the descriptions for both packages are nearly identical, the maintainers for 'cesiumjs' do not match the official CesiumGS team, raising further suspicion. There is no indication that 'cesiumjs' is an official fork or has a distinct purpose compared to 'cesium'. Therefore, based solely on the package name similarity and metadata, it is considered an adversarial name and suspicious.Package is adversarial and have similar purpose, so it's likely a typosquat.",,,cesium
npm,cfl-cli,,stealthy package confusion,"Possible `1-step D-L dist` package confusion of [cpy-cli]

Explanation: The package name 'cfl-cli' is very similar to the legitimate 'cpy-cli' (edit distance 2), making it potentially confusing for users and thus adversarial. The name similarity suggests an intentional mimic, and the similarity is indicative of a fork rather than a distinct project. Additionally, the lack of README data along with its use as a potential test package reinforces a lack of distinctive purpose. The listed maintainer 'sjjjjs' does not appear to be a recognized or reputable maintainer in the community, further increasing suspicion of deceptive intent. Risk level: Medium).",,,cpy-cli
npm,chartjs-plugin-crosshair,@omgduke,stealthy package confusion,"Possible `scope confusion` package confusion of [chartjs-plugin-crosshair]

Explanation: Both packages share the same base name and nearly identical functionality. The only difference is the addition of the '@omgduke' scope, which is a minor modification that could be used to mimic the official package. There is no evidence that the scoped package is explicitly marked as a fork, nor does it have a distinct purpose or serve testing functions. Additionally, while the maintainer is identified as 'omgduke', the similarity in naming is potentially adversarial and deceptive. Therefore, the package name is suspicious.Package is adversarial and have similar purpose, so it's likely a typosquat.",,,chartjs-plugin-crosshair
npm,charts,@inexture,false_positive,Possible package confusion of @fusioncharts/charts,,,@fusioncharts/charts
npm,checkbox,@destyler,false_positive,Possible package confusion of @atlaskit/checkbox,,,@atlaskit/checkbox
npm,checkbox,@purpurds,false_positive,Possible package confusion of @atlaskit/checkbox,,,@atlaskit/checkbox
npm,checkbox,@rescui,false_positive,Possible package confusion of @smui/checkbox,,,@smui/checkbox
npm,check-path,,false_positive,"Possible `simplification` package confusion of [path]

Explanation: The package 'check-path' lacks a description and has a name that could be misleadingly similar to 'path'. The absence of README data and the lack of information about its purpose or functionality make it suspicious. The maintainer 'ravindu01manoj' is not recognized as a known maintainer in the npm community, adding to the suspicion.",,,path
npm,chip,@jamsr-ui,false_positive,"Possible package confusion of [shadcn-ui]

Explanation: The package '@jamsr-ui/chip' has no README data, which is abnormal. The namespace '@jamsr-ui' does not clearly relate to a known organization or user, and the maintainer 'aditya72' is not recognized as a legitimate maintainer in the npm community. The lack of description and the namespace suggest it could be a typosquat, especially since it mimics the structure of 'shadcn-ui'.",,,shadcn-ui
npm,circle,,stealthy package confusion,"Possible `1-step D-L dist` package confusion of [cycle]

Explanation: The name 'circle' is very similar to 'cycle' (only one character difference) and could easily deceive users. The lack of a README in 'circle' raises further concerns, and there is no evidence to indicate it is a fork or intended for testing. The maintained identity ('case') does not strongly tie it to the legitimate package's community. Therefore, based solely on the name similarity and missing metadata, it is likely intended as a typosquat.Package is adversarial and have similar purpose, so it's likely a typosquat.",,,cycle
npm,ckeditor5-dzb,,stealthy package confusion,"Possible `simplification` package confusion of [ckeditor5]

Explanation: The package 'ckeditor5-dzb' has a name that closely resembles 'ckeditor5' with an added suffix, which could be confusing. The lack of README data and the fact that the maintainer is not widely recognized in the npm community contribute to the suspicion. There is no clear indication of a distinct purpose or that it is a fork or test package.",,,ckeditor5
npm,clarity-lsp,,stealthy package confusion,"Possible asemantic substitution package confusion of clarity-js - Explanation: The package 'clarity-lsp' is labeled as a 'security holding package' and has no maintainers listed, which is often indicative of a placeholder to prevent typosquatting. The name 'clarity-lsp' is similar to 'clarity-js', differing only in the suffix, which could confuse users. There is no indication of a distinct purpose or legitimate namespace, making it suspicious.",,,clarity-js
npm,clay,,false_positive,Possible package confusion of cli,,,cli
npm,cli,@coat,false_positive,"Possible `scope confusion` package confusion of [cli]

Explanation: The package '@coat/cli' uses a namespace combined with 'cli' that closely mirrors the legitimate package name 'cli'. Although its edit distance is 6, the addition of a namespace may confuse users by implying an association or fork of the original package. The provided description is extremely minimal (a placeholder with 'TODO') and lacks the detailed, helpful information found in the official 'cli' package, suggesting it may be intentionally mimicking 'cli'. The use of a namespace that does not clearly belong to the original author, along with the minimal README and metadata, indicates a likely adversarial intent. With the available information, '@coat/cli' appears to be an obvious fork that does not provide a distinct purpose, further reinforcing the suspicion. Risk level: High).",,,cli
npm,cli,@enschedule,false_positive,Possible package confusion of @unlighthouse/cli,,,@unlighthouse/cli
npm,cli,@innovex,false_positive,Possible package confusion of @unlighthouse/cli,,,@unlighthouse/cli
npm,cli,@libj,false_positive,"Possible scope confusion package confusion of cli - Explanation: The package '@libj/cli' has a namespace that does not clearly indicate a known organization or user, and the description 'Stay Tuned...' is abnormal and lacks detail. The maintainers 'sepo27' and 'sepo-one' are not recognized as known maintainers in the npm community. The namespace '@libj/' does not provide enough context to determine legitimacy, making it potentially suspicious.",,,cli
npm,cli,@ltf-cli,false_positive,"Possible `scope confusion` package confusion of [cli]

Explanation: The package name '@ltf-cli/cli' uses a prefixed namespace that modifies the legitimate 'cli' package name in a way that is likely to confuse users. The inclusion of 'cli' in both names coupled with the namespace alteration indicates an adversarial name. There is no clear indication that it is a fork (no fork-specific naming or description), nor that it serves a distinct purpose. The lack of README data adds to the suspicion, and the maintainer ('kiroro') does not appear to be a clearly recognized maintainer for 'cli'.Package is adversarial and have similar purpose, so it's likely a typosquat.",,,cli
npm,cli,@maegi,false_positive,"Possible `scope confusion` package confusion of [@mazui/cli]

Explanation: The package name @maegi/cli is extremely similar to @mazui/cli (with an edit distance of 2), making it likely to be mistaken for the legitimate one. The minor differences in the namespace suggest an intentional mimic rather than a distinct fork, especially since there is no added identifier indicating a username-based fork. Additionally, the missing README data increases the suspicion. The metadata does not indicate a separate purpose or testing nature, and with an unfamiliar maintainer ('werehamster') not clearly connected to the legitimate package, the overall evidence points towards a potential typosquat with adversarial intent. Risk level: High).",,,@mazui/cli
npm,cli,@nailyjs,false_positive,"Possible scope confusion package confusion of cli - Explanation: The package '@nailyjs/cli' has no README data, which is abnormal. The namespace '@nailyjs' does not provide enough context to determine a distinct purpose or known maintainer status. The lack of information and the use of a namespace with a generic package name like 'cli' makes it potentially suspicious.",,,cli
npm,cli,@natahouse,false_positive,Possible package confusion of @unlighthouse/cli,2024-12-08 14:18:21.148,,@unlighthouse/cli
npm,cli,@nocobase,false_positive,Possible package confusion of @unlighthouse/cli,,,@unlighthouse/cli
npm,cli,@rdyl,false_positive,"Possible scope confusion package confusion of cli - Explanation: The package '@rdyl/cli' uses a namespace that does not clearly indicate a known organization or user, and the description is minimal, lacking details about its functionality. The namespace '@rdyl' does not appear to be widely recognized, and the package name 'cli' is a common term, which increases the likelihood of confusion with the legitimate 'cli' package. The maintainer 'lovingfine' is not recognized as a known maintainer in the npm community, adding to the suspicion.",,,cli
npm,cli,@stedi,false_positive,"Possible `scope confusion` package confusion of [cli]

Explanation: @stedi/cli is an adversarial name as it uses a namespace that could confuse users into thinking it is related to the legitimate 'cli' package. The purpose of @stedi/cli is distinct as it specifically enables interaction with Stedi's APIs, which is different from the general command line toolkit provided by 'cli'. The maintainers are known, which adds legitimacy, but the namespace and potential for user confusion classify it as suspicious.",,,cli
npm,cli,@suijian,stealthy package confusion,"Possible scope confusion package confusion of cli - Explanation: The package '@suijian/cli' has a namespace that does not clearly indicate a known organization or user, and its description is incomplete and generic. The maintainer 'liam-coder' is not recognized as a known maintainer in the npm community. The lack of a detailed description and the use of a common package name 'cli' without clear differentiation suggest it could be a typosquat.",,,cli
npm,cli,@tuanzii,false_positive,Possible scope confusion package confusion of cli - Explanation: The package '@tuanzii/cli' lacks a description and has a namespace that does not clearly indicate a legitimate organization or user. The maintainer 'yyh1998' is not recognized as a known maintainer in the npm community. The lack of README data and the generic nature of the package name 'cli' increase the suspicion of typosquatting.,,,cli
npm,cli-ator,,false_positive,"Possible `simplification` package confusion of [cli]

Explanation: The package name 'cli-ator' is formed by adding a suffix to the legitimate 'cli' package, which can be confusing to users and falls under adversarial naming tactics. The edit distance is relatively high, and its purpose closely mirrors that of 'cli', indicating it is essentially a fork rather than a package with a distinct purpose. In addition, the provided README and description do not contain overtly suspicious or malicious intent, and the maintainer list does not align clearly with the original 'cli'. Risk level: Medium).",,,cli
npm,client,@thiggle,false_positive,"Possible package confusion of smartlook-client - Explanation: The package '@thiggle/client' has no README data, which is abnormal. The namespace '@thiggle' is not obviously related to 'smartlook-client', and the maintainer 'mrick' is not recognized as a known maintainer in the npm community. The lack of information and the namespace difference make it suspicious.",,,smartlook-client
npm,client-admin,,false_positive,"Possible package confusion of [iobroker.admin]

Explanation: The package 'client-admin' has no README data, which is abnormal. The name 'client-admin' does not closely resemble 'iobroker.admin', but the lack of description and the unknown maintainer make it suspicious. Without more information, it is difficult to determine its purpose or legitimacy.",2024-12-19 06:50:42.160,,iobroker.admin
npm,cli-form,,false_positive,"Possible `simplification` package confusion of [cli]

Explanation: The package 'cli-form' is a security holding package with no distinct purpose or functionality described, and it shares a similar name with the legitimate package 'cli'. This makes it likely a typosquat, as it could confuse users looking for 'cli'.",,,cli
npm,cli-freind,,false_positive,Possible package confusion of cli,2024-12-01 16:02:15.478,,cli
npm,clup,,false_positive,Possible package confusion of clap,,,clap
npm,cmc-api,,false_positive,"Possible `simplification` package confusion of [api]

Explanation: The package name 'cmc-api' is not very similar to 'api', and it has a distinct purpose related to CoinMarketCap, which is different from the generic API purpose of 'api'. The name 'cmc-api' could potentially deceive users due to its similarity to 'api', making it an adversarial name. The maintainers are not known in the npm community, which adds to the suspicion.",,,api
npm,code,@teambit,false_positive,Possible package confusion of @atlaskit/code,,,@atlaskit/code
npm,codemirror-json-schema,@samnoyes,stealthy package confusion,Possible package confusion of codemirror-json-schema,2024-12-08 16:06:43.368,,codemirror-json-schema
npm,col,@svelement-ui,false_positive,"Possible package confusion of [element-ui]

Explanation: The package '@svelement-ui/col' has a namespace that could be seen as mimicking 'element-ui', and lacks a description, which makes it suspicious. The maintainer 'koory1st' is not recognized as a known maintainer in the npm community. The lack of README data further adds to the suspicion.",,,element-ui
npm,coloma,,stealthy package confusion,Possible package confusion of colors,2024-11-30 21:35:43.866,,colors
npm,color,@leafer-ui,false_positive,Possible package confusion of material-ui-color,,,material-ui-color
npm,colors_express,,malware,"Possible `simplification` package confusion of [colors]

Explanation: The package 'colors_express' is a security holding package with a name similar to 'colors', which could confuse users. The description does not provide any distinct purpose, and the maintainer 'npm' does not clarify its legitimacy. This makes it likely a typosquat.


Security Holding Package",,,colors
npm,colorss,,stealthy package confusion,Possible package confusion of colors,,,colors
npm,colorsss,,stealthy package confusion,"Possible simplification package confusion of colors - Explanation: The package 'colorsss' is a security holding package with a name very similar to 'colors', differing only by the addition of 'ss'. This suggests it could be a typosquat. The maintainer 'npm' does not provide enough information to consider it a legitimate package. The description does not indicate a distinct purpose or intentional play on words.",2024-12-12 14:44:42.122,,colors
npm,common,@dacc,false_positive,"Possible scope confusion package confusion of common - Explanation: The package '@dacc/common' has a namespace while 'common' does not, which can indicate a potential typosquat. Both packages lack descriptions, making it difficult to determine their purposes. The maintainer 'mrick' is not recognized as a well-known maintainer, adding to the suspicion.",,,common
npm,common,@typescript-nameof,false_positive,Possible package confusion of @ts-nameof/common,,,@ts-nameof/common
npm,common-page-utilitiessubbu,,stealthy package confusion,"Possible `simplification` package confusion of [common-page-utilities]

Explanation: The package name 'common-page-utilitiessubbu' is very similar to 'common-page-utilities' with an additional 'subbu' at the end, which could be a minor addition to confuse users. The lack of README data for both packages makes it difficult to determine distinct purposes or intentions. The maintainer 'subbarao123' does not appear to be a known maintainer in the npm community, increasing suspicion.",,,common-page-utilities
npm,compat,@eslint,false_positive,Possible package confusion of eslint-compat-utils,,,eslint-compat-utils
npm,component-coco,,false_positive,Possible homophonic similarity package confusion of component-cookie,,,component-cookie
npm,component-tooltip,@brighthr,false_positive,Possible package confusion of @cloudflare/component-tooltip,,,@cloudflare/component-tooltip
npm,compute-engine,@abuenameh,stealthy package confusion,Possible package confusion of @cortex-js/compute-engine,,,@cortex-js/compute-engine
npm,concurrent,,false_positive,"Possible `semantic substitution` package confusion of [concurrently]

Explanation: The package 'concurrent' is similar to 'concurrently' with a 1-step Levenshtein distance, making it potentially adversarial. The descriptions do not indicate it is a fork, and the purpose does not seem distinct. However, the maintainer is known, which adds some legitimacy.",,,concurrently
npm,config,@tamagui,false_positive,"Possible `scope confusion` package confusion of [config]

Explanation: The package '@tamagui/config' uses a namespaced format which differs from the unscoped 'config'. Although the edit distance is high (9), the deliberate addition of the '@tamagui/' scope could mislead users by implying affiliation with a known organization, leading to scope confusion. In this case, the naming resembles an intentional mimic, and the package appears to be a fork rather than a distinct project. Furthermore, the absence of a README increases suspicion about its intent. The limited maintainer information (['nwienert']) does not provide enough assurance of legitimacy, hence the overall indication of suspicious intent. Risk level: High).",,,config
npm,confluent-schema-registry,,false_positive,Possible package confusion of @kafkajs/confluent-schema-registry,,,@kafkajs/confluent-schema-registry
npm,confluent-schema-registry,@debitoor,false_positive,Possible package confusion of @kafkajs/confluent-schema-registry,,,@kafkajs/confluent-schema-registry
npm,cool-rich-text-editor,@aliga,false_positive,Possible package confusion of @vaadin/rich-text-editor,,,@vaadin/rich-text-editor
npm,core,@aarc-dev,false_positive,Possible package confusion of @trigger.dev/core,,,@trigger.dev/core
npm,core,@ahri-ui,false_positive,Possible package confusion of @yamada-ui/core,,,@yamada-ui/core
npm,core,@ajk-ui,false_positive,Possible package confusion of @yamada-ui/core,,,@yamada-ui/core
npm,core,@batiq,false_positive,Possible package confusion of @mantine/core,,,@mantine/core
